Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",107.730000,-94.700000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",109.000000,-97.080000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",110.420000,-97.700000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",110.000000,-95.250000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",109.000000,-93.180000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",110.420000,-96.700000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",108.250000,-95.700000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",108.000000,-93.180000,90.000000,top
"C9","1uF","C_0402_1005Metric",107.000000,-93.180000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",105.600000,-92.020000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",108.020000,-91.800000,0.000000,top
"C12","1uF","C_0402_1005Metric",106.600000,-91.320000,90.000000,top
"C22","10uF","C_0603_1608Metric",101.000000,-79.100000,180.000000,top
"C23","10uF","C_0603_1608Metric",101.700000,-85.200000,180.000000,top
"C24","33pF","C_0402_1005Metric",104.500000,-107.500000,90.000000,top
"C25","33pF","C_0402_1005Metric",99.250000,-107.520000,-90.000000,top
"C26","0.1uF","C_0402_1005Metric",103.000000,-91.000000,90.000000,top
"D1","BLUE","LED_0603_1608Metric",108.012500,-111.400000,0.000000,top
"D2","RED","LED_0603_1608Metric",108.000000,-107.300000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",104.250000,-73.000000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",95.360000,-71.870000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",113.140000,-71.870000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",101.710000,-119.890000,90.000000,top
"R1","5.1K","R_0402_1005Metric",105.600000,-79.200000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",103.000000,-79.300000,-90.000000,top
"R3","27","R_0402_1005Metric",106.000000,-94.750000,-90.000000,top
"R4","27","R_0402_1005Metric",104.900000,-94.750000,-90.000000,top
"R5","1K","R_0402_1005Metric",105.000000,-109.000000,0.000000,top
"R6","10k","R_0402_1005Metric",99.800000,-90.800000,-90.000000,top
"R7","1k","R_0402_1005Metric",100.300000,-111.200000,180.000000,top
"R8","50","R_0402_1005Metric",108.000000,-106.000000,0.000000,top
"R9","10","R_0402_1005Metric",108.002500,-110.100000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",100.300000,-114.900000,0.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",108.200000,-114.900000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",104.250000,-100.000000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",101.800000,-81.837500,90.000000,top
"U3","W25Q16JVUXIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",101.500000,-93.500000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",101.850000,-107.400000,180.000000,top
