Designator,Mid X,Mid Y,Rotation,Layer
C1,107.73,-94.7,0.0,top
C10,105.6,-92.02,90.0,top
C11,108.02,-91.8,0.0,top
C12,106.6,-91.32,90.0,top
C2,109.0,-97.08,270.0,top
C22,101.0,-79.1,180.0,top
C23,101.7,-85.2,180.0,top
C24,104.5,-107.5,90.0,top
C25,99.25,-107.52,270.0,top
C26,103.0,-91.0,90.0,top
C3,110.42,-97.7,0.0,top
C4,110.0,-95.25,270.0,top
C5,109.0,-93.18,90.0,top
C6,110.42,-96.7,0.0,top
C7,108.25,-95.7,0.0,top
C8,108.0,-93.18,90.0,top
C9,107.0,-93.18,90.0,top
D1,108.0125,-111.4,0.0,top
D2,108.0,-107.3,0.0,top
J1,104.22,-72.95,180.0,top
J2,95.36,-96.0,0.0,top
J3,113.14,-96.0,0.0,top
J4,104.25,-119.89,90.0,top
R1,105.6,-79.2,270.0,top
R2,103.0,-79.3,270.0,top
R3,106.0,-94.75,270.0,top
R4,104.9,-94.75,270.0,top
R5,105.0,-109.0,0.0,top
R6,99.8,-90.8,270.0,top
R7,100.3,-111.2,180.0,top
R8,108.0,-106.0,0.0,top
R9,108.0025,-110.1,0.0,top
SW1,100.3,-114.9,0.0,top
SW2,108.2,-114.9,0.0,top
U1,104.25,-100.0,90.0,top
U2,101.8,-81.8375,270.0,top
U3,101.5,-93.5,0.0,top
Y1,101.85,-107.4,180.0,top
